transaction_id,date,description,amount,type,account,reference_number
TXN-2025-0001,2025-01-03,"TOAST POS BATCH SETTLEMENT",12450.00,Credit,"Operating Checking *4920",REF-627292
TXN-2025-0002,2025-01-07,"UBER EATS DIRECT DEP RESTAURANT",3820.50,Credit,"Operating Checking *4920",REF-517386
TXN-2025-0003,2025-01-10,"TOAST POS BATCH SETTLEMENT",14120.00,Credit,"Operating Checking *4920",REF-696642
TXN-2025-0004,2025-01-14,"DOORDASH RESTAURANT SETTLE",4150.25,Credit,"Operating Checking *4920",REF-684389
TXN-2025-0005,2025-01-17,"TOAST POS BATCH SETTLEMENT",13890.00,Credit,"Operating Checking *4920",REF-769385
TXN-2025-0006,2025-01-21,"SQUARE INC EVENT DEPOSIT DUPONT",5500.00,Credit,"Operating Checking *4920",REF-205656
TXN-2025-0007,2025-01-24,"TOAST POS BATCH SETTLEMENT",15200.75,Credit,"Operating Checking *4920",REF-121498
TXN-2025-0008,2025-01-28,"DOORDASH RESTAURANT SETTLE",4380.00,Credit,"Operating Checking *4920",REF-759748
TXN-2025-0009,2025-01-31,"TOAST POS BATCH SETTLEMENT",8950.00,Credit,"Operating Checking *4920",REF-843885
TXN-2025-0010,2025-01-04,"BALDOR SPECIALTY FOODS PRODUCE NY",-3200.50,Debit,"Operating Checking *4920",REF-681136
TXN-2025-0011,2025-01-06,"SYSCO METRO NY MEAT & POULTRY",-4850.00,Debit,"Operating Checking *4920",REF-689867
TXN-2025-0012,2025-01-11,"SEA TO TABLE FRESH FISH BROOKLYN",-2100.00,Debit,"Operating Checking *4920",REF-262871
TXN-2025-0013,2025-01-13,"MANHATTAN BEER DISTRIBUTORS BEV",-3400.00,Debit,"Operating Checking *4920",REF-503744
TXN-2025-0014,2025-01-18,"BALDOR SPECIALTY FOODS PRODUCE NY",-2950.25,Debit,"Operating Checking *4920",REF-362858
TXN-2025-0015,2025-01-20,"SYSCO METRO NY MEAT & POULTRY",-4620.00,Debit,"Operating Checking *4920",REF-513515
TXN-2025-0016,2025-01-25,"DAIRYLAND CHEFS WAREHOUSE DAIRY",-1850.50,Debit,"Operating Checking *4920",REF-944199
TXN-2025-0017,2025-01-27,"SEA TO TABLE FRESH FISH BROOKLYN",-1980.00,Debit,"Operating Checking *4920",REF-583238
TXN-2025-0018,2025-01-30,"MANHATTAN BEER DISTRIBUTORS BEV",-1650.00,Debit,"Operating Checking *4920",REF-570926
TXN-2025-0019,2025-01-15,"GUSTO PAYROLL PE0115 NET PAY",-9850.00,Debit,"Operating Checking *4920",REF-300926
TXN-2025-0020,2025-01-15,"GUSTO TAX SERVICES TAXES PE0115",-2150.00,Debit,"Operating Checking *4920",REF-937049
TXN-2025-0021,2025-01-31,"GUSTO PAYROLL PE0131 NET PAY",-9780.00,Debit,"Operating Checking *4920",REF-134178
TXN-2025-0022,2025-01-31,"GUSTO TAX SERVICES TAXES PE0131",-2220.00,Debit,"Operating Checking *4920",REF-487562
TXN-2025-0023,2025-01-01,"BROADWAY COMMERCIAL REALTY JAN RENT",-8500.00,Debit,"Operating Checking *4920",REF-228571
TXN-2025-0024,2025-01-05,"CON EDISON OF NY ELEC & GAS",-1680.40,Debit,"Operating Checking *4920",REF-453445
TXN-2025-0025,2025-01-08,"TOAST POS HARDWARE/SOFTWARE SUBSCRIPTION",-499.00,Debit,"Operating Checking *4920",REF-482419
TXN-2025-0026,2025-01-12,"RESTAURANT DEPOT KITCHEN SUPPLIES",-980.35,Debit,"Credit Card *8812",REF-510903
TXN-2025-0027,2025-01-16,"EMPIRE LINEN COMMERCIAL CLEANING",-740.00,Debit,"Operating Checking *4920",REF-152027
TXN-2025-0028,2025-01-19,"RESY RESERVATION SOFTWARE",-399.00,Debit,"Credit Card *8812",REF-904448
TXN-2025-0029,2025-01-22,"WASTE MANAGEMENT COMMERCIAL DUMPSTER",-650.00,Debit,"Operating Checking *4920",REF-870889
TXN-2025-0030,2025-01-26,"STATE FARM BUSINESS CASUALTY INS",-850.00,Debit,"Operating Checking *4920",REF-899736
TXN-2025-0031,2025-01-29,"META ADS RESTAURANT PROMOTION",-350.00,Debit,"Credit Card *8812",REF-726856
TXN-2025-0032,2025-01-02,"CHASE BUS LOAN PMT 9931 PRINCIPAL",-1200.00,Debit,"Operating Checking *4920",REF-630812
TXN-2025-0033,2025-01-15,"ONLINE TRANSFER TO SAVINGS *1102",-5000.00,Debit,"Operating Checking *4920",REF-792027
TXN-2025-0034,2025-02-04,"TOAST POS BATCH SETTLEMENT",11800.00,Credit,"Operating Checking *4920",REF-873193
TXN-2025-0035,2025-02-07,"UBER EATS DIRECT DEP RESTAURANT",4200.00,Credit,"Operating Checking *4920",REF-856880
TXN-2025-0036,2025-02-11,"TOAST POS BATCH SETTLEMENT",13450.00,Credit,"Operating Checking *4920",REF-321345
TXN-2025-0037,2025-02-14,"DOORDASH RESTAURANT SETTLE",4600.00,Credit,"Operating Checking *4920",REF-812919
TXN-2025-0038,2025-02-15,"TOAST POS VALENTINE DAY SURGE SETTLE",18950.00,Credit,"Operating Checking *4920",REF-843111
TXN-2025-0039,2025-02-18,"TOAST POS BATCH SETTLEMENT",9800.00,Credit,"Operating Checking *4920",REF-214287
TXN-2025-0040,2025-02-21,"UBER EATS DIRECT DEP RESTAURANT",3450.00,Credit,"Operating Checking *4920",REF-312224
TXN-2025-0041,2025-02-25,"TOAST POS BATCH SETTLEMENT",11100.00,Credit,"Operating Checking *4920",REF-986981
TXN-2025-0042,2025-02-28,"DOORDASH RESTAURANT SETTLE",3200.00,Credit,"Operating Checking *4920",REF-471175
TXN-2025-0043,2025-02-02,"BALDOR SPECIALTY FOODS PRODUCE NY",-3100.00,Debit,"Operating Checking *4920",REF-189358
TXN-2025-0044,2025-02-06,"SYSCO METRO NY MEAT & POULTRY",-5400.00,Debit,"Operating Checking *4920",REF-502628
TXN-2025-0045,2025-02-10,"SEA TO TABLE FRESH FISH BROOKLYN",-3850.00,Debit,"Operating Checking *4920",REF-517857
TXN-2025-0046,2025-02-12,"DAIRYLAND CHEFS WAREHOUSE TRUFFLES & CHEESE",-2650.00,Debit,"Credit Card *8812",REF-909861
TXN-2025-0047,2025-02-13,"MANHATTAN BEER DISTRIBUTORS WINE SELECTION",-4200.00,Debit,"Operating Checking *4920",REF-678938
TXN-2025-0048,2025-02-14,"SYSCO METRO NY MEAT & POULTRY",-1850.00,Debit,"Operating Checking *4920",REF-DUP001
TXN-2025-0049,2025-02-14,"SYSCO METRO NY MEAT & POULTRY",-1850.00,Debit,"Operating Checking *4920",REF-DUP002
TXN-2025-0050,2025-02-19,"BALDOR SPECIALTY FOODS PRODUCE NY",-3250.00,Debit,"Operating Checking *4920",REF-609864
TXN-2025-0051,2025-02-23,"SEA TO TABLE FRESH FISH BROOKLYN",-2900.00,Debit,"Operating Checking *4920",REF-742424
TXN-2025-0052,2025-02-27,"MANHATTAN BEER DISTRIBUTORS BEV",-2150.00,Debit,"Operating Checking *4920",REF-942510
TXN-2025-0053,2025-02-14,"GUSTO PAYROLL PE0214 NET PAY",-9900.00,Debit,"Operating Checking *4920",REF-170771
TXN-2025-0054,2025-02-14,"GUSTO TAX SERVICES TAXES PE0214",-2180.00,Debit,"Operating Checking *4920",REF-251001
TXN-2025-0055,2025-02-28,"GUSTO PAYROLL PE0228 NET PAY",-9820.00,Debit,"Operating Checking *4920",REF-580362
TXN-2025-0056,2025-02-28,"GUSTO TAX SERVICES TAXES PE0228",-2200.00,Debit,"Operating Checking *4920",REF-933656
TXN-2025-0057,2025-02-01,"BROADWAY COMMERCIAL REALTY FEB RENT",-8500.00,Debit,"Operating Checking *4920",REF-509005
TXN-2025-0058,2025-02-05,"CON EDISON OF NY ELEC & GAS SUB-ZERO SPIKE",-2850.00,Debit,"Operating Checking *4920",REF-889547
TXN-2025-0059,2025-02-08,"TOAST POS HARDWARE/SOFTWARE SUBSCRIPTION",-499.00,Debit,"Operating Checking *4920",REF-932182
TXN-2025-0060,2025-02-11,"EMPIRE HVAC RESTAURANT BOILER REPAIR EMERGENCY",-1450.00,Debit,"Credit Card *8812",REF-286274
TXN-2025-0061,2025-02-15,"EMPIRE LINEN COMMERCIAL CLEANING",-780.00,Debit,"Operating Checking *4920",REF-251533
TXN-2025-0062,2025-02-18,"RESY RESERVATION SOFTWARE",-399.00,Debit,"Credit Card *8812",REF-675010
TXN-2025-0063,2025-02-21,"RESTAURANT DEPOT CHEMICALS & SANITIZER",-640.00,Debit,"Credit Card *8812",REF-495400
TXN-2025-0064,2025-02-25,"WASTE MANAGEMENT COMMERCIAL DUMPSTER",-650.00,Debit,"Operating Checking *4920",REF-549771
TXN-2025-0065,2025-02-26,"STATE FARM BUSINESS CASUALTY INS",-850.00,Debit,"Operating Checking *4920",REF-819449
TXN-2025-0066,2025-02-16,"VENMO PAYMENT - J. SMITH DINNER SETTLE",-420.00,Debit,"Operating Checking *4920",REF-652802
TXN-2025-0067,2025-02-22,"AMAZON.COM*MKTPLACE SEATTLE WA",-530.00,Debit,"Credit Card *8812",REF-261337
TXN-2025-0068,2025-02-24,"ATM CASH WITHDRAWAL CHASE 14TH ST NY",-500.00,Debit,"Operating Checking *4920",REF-942346
TXN-2025-0069,2025-02-03,"CHASE BUS LOAN PMT 9931 PRINCIPAL",-1200.00,Debit,"Operating Checking *4920",REF-249110
TXN-2025-0070,2025-03-04,"TOAST POS BATCH SETTLEMENT",14500.00,Credit,"Operating Checking *4920",REF-760059
TXN-2025-0071,2025-03-07,"UBER EATS DIRECT DEP RESTAURANT",4950.00,Credit,"Operating Checking *4920",REF-901069
TXN-2025-0072,2025-03-11,"TOAST POS BATCH SETTLEMENT",16200.00,Credit,"Operating Checking *4920",REF-249524
TXN-2025-0073,2025-03-15,"DOORDASH RESTAURANT SETTLE",5400.00,Credit,"Operating Checking *4920",REF-444618
TXN-2025-0074,2025-03-17,"TOAST POS ST PATRICK WEEKEND SETTLE",21400.00,Credit,"Operating Checking *4920",REF-951430
TXN-2025-0075,2025-03-21,"SQUARE INC PRIVATE EVENT SPRING GALA",11500.00,Credit,"Operating Checking *4920",REF-260926
TXN-2025-0076,2025-03-25,"TOAST POS BATCH SETTLEMENT",16800.00,Credit,"Operating Checking *4920",REF-599357
